unique_id,expect_path,old_compact,new_compact,source_folder
0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449,uxm/tests/all_expected_known/0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT12,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0011_0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449
0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff,uxm/tests/all_expected_known/0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT10,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0012_0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff
0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f,uxm/tests/all_expected_known/0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT50,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0013_0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f
0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba,uxm/tests/all_expected_known/0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT72,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0014_0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba
0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5,uxm/tests/all_expected_known/0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT-2,[12][34]-2,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0015_0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5
0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659,uxm/tests/all_expected_known/0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT15,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0027_0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659
0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab,uxm/tests/all_expected_known/0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT8,B,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0028_0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab
0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20,uxm/tests/all_expected_known/0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT8,B,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0029_0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20
0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a,uxm/tests/all_expected_known/0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT400000060000005000000,400000060000002236068,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0069_0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a
0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a,uxm/tests/all_expected_known/0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.expect,"#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT[10][01]memorytape=64,stack=8,data=256,queue=4celldwordmodenormal",[10][01],C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0073_0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a
0088__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505,uxm/tests/all_expected_known/0088__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT9000000andabout2660000/2666666dependingn/rounding,90000002680000,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0074_0088__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505
0089__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_probability_random__0cedf8d236,uxm/tests/all_expected_known/0089__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_probability_random__0cedf8d236.expect,"#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUTdeterministicrandomvalues,allcompile/runsuccess",77693921720350,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0075_0089__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_probability_random__0cedf8d236
0110__s10_STAGE10_matrix_adv_tensor__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449,uxm/tests/all_expected_known/0110__s10_STAGE10_matrix_adv_tensor__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT12,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0089_0110__s10_STAGE10_matrix_adv_tensor__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449
0111__s10_STAGE10_matrix_adv_tensor__uxm_tests_math_test_math05_num_deriv__191a99caff,uxm/tests/all_expected_known/0111__s10_STAGE10_matrix_adv_tensor__uxm_tests_math_test_math05_num_deriv__191a99caff.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT10,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0090_0111__s10_STAGE10_matrix_adv_tensor__uxm_tests_math_test_math05_num_deriv__191a99caff
0112__s10_STAGE10_matrix_adv_tensor__uxm_tests_math_test_math06_integral_trap__f9df1f263f,uxm/tests/all_expected_known/0112__s10_STAGE10_matrix_adv_tensor__uxm_tests_math_test_math06_integral_trap__f9df1f263f.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT50,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0091_0112__s10_STAGE10_matrix_adv_tensor__uxm_tests_math_test_math06_integral_trap__f9df1f263f
0113__s10_STAGE10_matrix_adv_tensor__uxm_tests_math_test_math07_integral_simpson__7adae488ba,uxm/tests/all_expected_known/0113__s10_STAGE10_matrix_adv_tensor__uxm_tests_math_test_math07_integral_simpson__7adae488ba.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT72,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0092_0113__s10_STAGE10_matrix_adv_tensor__uxm_tests_math_test_math07_integral_simpson__7adae488ba
0114__s10_STAGE10_matrix_adv_tensor__uxm_tests_matrix_tmp_det_debug__0ea11514b5,uxm/tests/all_expected_known/0114__s10_STAGE10_matrix_adv_tensor__uxm_tests_matrix_tmp_det_debug__0ea11514b5.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT-2,[12][34]-2,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0093_0114__s10_STAGE10_matrix_adv_tensor__uxm_tests_matrix_tmp_det_debug__0ea11514b5
0131__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test13_status_div_zero__1517d0d659,uxm/tests/all_expected_known/0131__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test13_status_div_zero__1517d0d659.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT15,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0105_0131__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test13_status_div_zero__1517d0d659
0132__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test14_branch_current_zero__475660ecab,uxm/tests/all_expected_known/0132__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test14_branch_current_zero__475660ecab.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT8,B,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0106_0132__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test14_branch_current_zero__475660ecab
0133__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test15_branch_nonzero__264c6a7d20,uxm/tests/all_expected_known/0133__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test15_branch_nonzero__264c6a7d20.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT8,B,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0107_0133__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test15_branch_nonzero__264c6a7d20
0178__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_complex_basic__0344e7a13a,uxm/tests/all_expected_known/0178__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT400000060000005000000,400000060000002236068,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0147_0178__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_complex_basic__0344e7a13a
0186__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a,uxm/tests/all_expected_known/0186__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.expect,"#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT[10][01]memorytape=64,stack=8,data=256,queue=4celldwordmodenormal",[10][01],C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0151_0186__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a
0187__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505,uxm/tests/all_expected_known/0187__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT9000000andabout2660000/2666666dependingn/rounding,90000002680000,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0152_0187__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505
0188__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_probability_random__0cedf8d236,uxm/tests/all_expected_known/0188__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_probability_random__0cedf8d236.expect,"#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUTdeterministicrandomvalues,allcompile/runsuccess",77693921720350,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0153_0188__s10_STAGE10_matrix_adv_tensor__uxm_tests_v33_test_v33_probability_random__0cedf8d236
0209__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449,uxm/tests/all_expected_known/0209__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT12,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0167_0209__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449
0210__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math05_num_deriv__191a99caff,uxm/tests/all_expected_known/0210__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math05_num_deriv__191a99caff.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT10,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0168_0210__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math05_num_deriv__191a99caff
0211__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math06_integral_trap__f9df1f263f,uxm/tests/all_expected_known/0211__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math06_integral_trap__f9df1f263f.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT50,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0169_0211__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math06_integral_trap__f9df1f263f
0212__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math07_integral_simpson__7adae488ba,uxm/tests/all_expected_known/0212__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math07_integral_simpson__7adae488ba.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT72,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0170_0212__s11_STAGE11_tensor_advanced__uxm_tests_math_test_math07_integral_simpson__7adae488ba
0213__s11_STAGE11_tensor_advanced__uxm_tests_matrix_tmp_det_debug__0ea11514b5,uxm/tests/all_expected_known/0213__s11_STAGE11_tensor_advanced__uxm_tests_matrix_tmp_det_debug__0ea11514b5.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT-2,[12][34]-2,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0171_0213__s11_STAGE11_tensor_advanced__uxm_tests_matrix_tmp_det_debug__0ea11514b5
0230__s11_STAGE11_tensor_advanced__uxm_tests_native_test13_status_div_zero__1517d0d659,uxm/tests/all_expected_known/0230__s11_STAGE11_tensor_advanced__uxm_tests_native_test13_status_div_zero__1517d0d659.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT15,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0183_0230__s11_STAGE11_tensor_advanced__uxm_tests_native_test13_status_div_zero__1517d0d659
0231__s11_STAGE11_tensor_advanced__uxm_tests_native_test14_branch_current_zero__475660ecab,uxm/tests/all_expected_known/0231__s11_STAGE11_tensor_advanced__uxm_tests_native_test14_branch_current_zero__475660ecab.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT8,B,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0184_0231__s11_STAGE11_tensor_advanced__uxm_tests_native_test14_branch_current_zero__475660ecab
0232__s11_STAGE11_tensor_advanced__uxm_tests_native_test15_branch_nonzero__264c6a7d20,uxm/tests/all_expected_known/0232__s11_STAGE11_tensor_advanced__uxm_tests_native_test15_branch_nonzero__264c6a7d20.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT8,B,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0185_0232__s11_STAGE11_tensor_advanced__uxm_tests_native_test15_branch_nonzero__264c6a7d20
0277__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_complex_basic__0344e7a13a,uxm/tests/all_expected_known/0277__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT400000060000005000000,400000060000002236068,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0225_0277__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_complex_basic__0344e7a13a
0285__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a,uxm/tests/all_expected_known/0285__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.expect,"#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT[10][01]memorytape=64,stack=8,data=256,queue=4celldwordmodenormal",[10][01],C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0229_0285__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a
0286__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505,uxm/tests/all_expected_known/0286__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT9000000andabout2660000/2666666dependingn/rounding,90000002680000,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0230_0286__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_numeric_poly_integral__dad9497505
0287__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_probability_random__0cedf8d236,uxm/tests/all_expected_known/0287__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_probability_random__0cedf8d236.expect,"#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUTdeterministicrandomvalues,allcompile/runsuccess",77693921720350,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0231_0287__s11_STAGE11_tensor_advanced__uxm_tests_v33_test_v33_probability_random__0cedf8d236
0311__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449,uxm/tests/all_expected_known/0311__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT12,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0245_0311__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449
0312__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math05_num_deriv__191a99caff,uxm/tests/all_expected_known/0312__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math05_num_deriv__191a99caff.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT10,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0246_0312__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math05_num_deriv__191a99caff
0313__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math06_integral_trap__f9df1f263f,uxm/tests/all_expected_known/0313__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math06_integral_trap__f9df1f263f.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT50,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0247_0313__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math06_integral_trap__f9df1f263f
0314__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math07_integral_simpson__7adae488ba,uxm/tests/all_expected_known/0314__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math07_integral_simpson__7adae488ba.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT72,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0248_0314__s12_STAGE12_tensor_advanced2__uxm_tests_math_test_math07_integral_simpson__7adae488ba
0315__s12_STAGE12_tensor_advanced2__uxm_tests_matrix_tmp_det_debug__0ea11514b5,uxm/tests/all_expected_known/0315__s12_STAGE12_tensor_advanced2__uxm_tests_matrix_tmp_det_debug__0ea11514b5.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT-2,[12][34]-2,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0249_0315__s12_STAGE12_tensor_advanced2__uxm_tests_matrix_tmp_det_debug__0ea11514b5
